name,postcode,latitude,longitude,URL
Abercynon,CF45 4YX,51.645552,-3.321808,http://motorwayservices.uk/Abercynon
Abington,ML12 6RG,55.507502,-3.695989,http://motorwayservices.uk/Abington
Acle,NR13 3BE,52.638237,1.55067,http://motorwayservices.uk/Acle
Acre_Hill,OX29 4EN,51.788056,-1.366947,http://motorwayservices.uk/Acre_Hill
Adderstone,NE70 7JU,55.564274,-1.791249,http://motorwayservices.uk/Adderstone
Alfreton,DE55 1HJ,53.087453,-1.394492,http://motorwayservices.uk/Alfreton
Alwalton,PE7 3UJ,52.543923,-0.331666,http://motorwayservices.uk/Alwalton
Annandale_Water,DG11 1HD,55.215885,-3.416082,http://motorwayservices.uk/Annandale_Water
Appleby_Magna,DE12 7AP,52.672183,-1.540577,http://motorwayservices.uk/Appleby_Magna
Ashby-de-la-Zouch,LE65 1JP,52.751413,-1.448664,http://motorwayservices.uk/Ashby-de-la-Zouch
Ashford,TN24 0GB,51.124606,0.897468,http://motorwayservices.uk/Ashford
Ashgrove,AB54 4TL,57.484275,-2.855875,http://motorwayservices.uk/Ashgrove
Ashington,RH20 3AT,50.940471,-0.386249,http://motorwayservices.uk/Ashington
Astwick,SG5 4BL,52.026804,-0.215812,http://motorwayservices.uk/Astwick
Attleborough,NR17 2PU,52.531773,1.051085,http://motorwayservices.uk/Attleborough
Baldock,SG7 5TR,52.014517,-0.202486,http://motorwayservices.uk/Baldock
Balhaldie,FK15 0NB,56.229968,-3.901656,http://motorwayservices.uk/Balhaldie
Ballinluig,PH9 0LG,56.654083,-3.66938,http://motorwayservices.uk/Ballinluig
Ballymena,BT44 9HA,54.940272,-6.328715,http://motorwayservices.uk/Ballymena
Bangor,LL57 4BG,53.206144,-4.106535,http://motorwayservices.uk/Bangor
Bankhead,KY7 6GH,56.183364,-3.143849,http://motorwayservices.uk/Bankhead
Barbican,BT32 4ET,54.367678,-6.217684,http://motorwayservices.uk/Barbican
Barnetby,DN20 0PA,53.585669,-0.416585,http://motorwayservices.uk/Barnetby
Barnsdale_Bar,WF8 3JF,53.625931,-1.238125,http://motorwayservices.uk/Barnsdale_Bar
Barrow,BB7 9WF,53.839998,-2.394371,http://motorwayservices.uk/Barrow
Barthomley,CW2 5PT,53.068951,-2.337201,http://motorwayservices.uk/Barthomley
Barton_Mills,IP28 6AE,52.338456,0.533537,http://motorwayservices.uk/Barton_Mills
Barton_Park,DL10 6NA,54.466893,-1.663042,http://motorwayservices.uk/Barton_Park
Barton_Stacey,SO21 3NF,51.180637,-1.37802,http://motorwayservices.uk/Barton_Stacey
Battlefield,SY4 3EQ,52.74786,-2.717593,http://motorwayservices.uk/Battlefield
Baynards_Green,OX27 7SG,51.96072,-1.20207,http://motorwayservices.uk/Baynards_Green
Beacon_Hill,IP6 8LP,52.147557,1.079871,http://motorwayservices.uk/Beacon_Hill
Beacon,HU15 1SA,53.766749,-0.646571,http://motorwayservices.uk/Beacon
Beaconsfield,HP9 2SE,51.587846,-0.628195,http://motorwayservices.uk/Beaconsfield
Beccles,NR34 0HF,52.487543,1.523366,http://motorwayservices.uk/Beccles
Beckington,BA11 6SF,51.269312,-2.284404,http://motorwayservices.uk/Beckington
Bedford,MK42 9BF,52.106571,-0.477289,http://motorwayservices.uk/Bedford
Beechings_Way,ME8 6AD,51.380889,0.576568,http://motorwayservices.uk/Beechings_Way
Bell,DY9 9XU,52.390902,-2.08655,http://motorwayservices.uk/Bell
Bellshill,ML4 3PD,55.819802,-4.040625,http://motorwayservices.uk/Bellshill
Berkshire_Downs,OX11 0RW,51.562716,-1.301428,http://motorwayservices.uk/Berkshire_Downs
Bicester,OX26 1BT,51.893734,-1.161752,http://motorwayservices.uk/Bicester
Bickenhill,B92 0EH,52.444814,-1.721605,http://motorwayservices.uk/Bickenhill
Bicker_Bar,PE20 3AN,52.930435,-0.158074,http://motorwayservices.uk/Bicker_Bar
Bilbrough,LS24 8EQ,53.902811,-1.197759,http://motorwayservices.uk/Bilbrough
Bilbrough_Top,YO23 3PP,53.906408,-1.184639,http://motorwayservices.uk/Bilbrough_Top
Binley,CV3 2ZZ,52.388753,-1.439643,http://motorwayservices.uk/Binley
Birchanger_Green,CM23 5QZ,51.871647,0.194809,http://motorwayservices.uk/Birchanger_Green
Birch,OL10 2RB,53.566051,-2.228462,http://motorwayservices.uk/Birch
Blackburn_with_Darwen,BB3 0DB,53.713152,-2.476364,http://motorwayservices.uk/Blackburn_with_Darwen
Blendon,DA15 9NT,51.447978,0.115813,http://motorwayservices.uk/Blendon
Bloody_Oaks,PE9 4AD,52.674133,-0.533208,http://motorwayservices.uk/Bloody_Oaks
Blue_Bell_Hill,ME20 7EZ,51.32012,0.506047,http://motorwayservices.uk/Blue_Bell_Hill
Blyth,S81 8HG,53.382096,-1.062269,http://motorwayservices.uk/Blyth
Bobbing_Corner,ME9 8RZ,51.35128,0.706987,http://motorwayservices.uk/Bobbing_Corner
Bodmin_Moor,PL15 7RR,50.596432,-4.484012,http://motorwayservices.uk/Bodmin_Moor
Boongate,PE1 5YA,52.578059,-0.21971,http://motorwayservices.uk/Boongate
Boship,BN27 4DP,50.879231,0.231109,http://motorwayservices.uk/Boship
Bothwell,G71 8BG,55.815529,-4.063512,http://motorwayservices.uk/Bothwell
Bourne_End,HP1 2SB,51.741639,-0.529759,http://motorwayservices.uk/Bourne_End
