name,eircode,latitude,longitude,URL
Athlone,N37 N2T0,53.4007486,-7.8273165,http://motorwayservices.ie/Athlone
Birdhill,V94 720P,52.7584205,-8.408365,http://motorwayservices.ie/Birdhill
Carlow,R93 N2X8,52.8026044,-6.8832978,http://motorwayservices.ie/Carlow
Cashel,E25 RC42,52.5090291,-7.8730672,http://motorwayservices.ie/Cashel
Castlebellingham,A91 A2WY,53.9318538,-6.4169479,http://motorwayservices.ie/Castlebellingham
Enfield,A83 NR71,53.4112383,-6.8765776,http://motorwayservices.ie/Enfield
Fermoy,P61 RY63,52.1655816,-8.2612881,http://motorwayservices.ie/Fermoy
Galway,H65 EK28,53.2644819,-8.606848,http://motorwayservices.ie/Galway
Gorey,Y25 V8F8,52.7504172,-6.2028138,http://motorwayservices.ie/Gorey
Kilcullen,R56 T251,53.087789,-6.7556429,http://motorwayservices.ie/Kilcullen
Kill,W91 VNN3,53.2477264,-6.5958702,http://motorwayservices.ie/Kill
Kinnegad,N91 N9YR,53.4522016,-7.1077325,http://motorwayservices.ie/Kinnegad
Lusk,K45 KD89,53.5369965,-6.2156121,http://motorwayservices.ie/Lusk
Manor_Stone,R32 X8H7,52.8665715,-7.4807808,http://motorwayservices.ie/Manor_Stone
Mayfield,W34 E789,53.1450646,-7.0130851,http://motorwayservices.ie/Mayfield
Midway_Food_Court,R32 V09W,53.0140445,-7.2998537,http://motorwayservices.ie/Midway_Food_Court
Moneygall,E53 F342,52.8845153,-7.9444262,http://motorwayservices.ie/Moneygall
Mulhuddart,D15 VK30,53.4068466,-6.4137948,http://motorwayservices.ie/Mulhuddart
Paulstown,R95 R2X6,52.6801939,-7.0353789,http://motorwayservices.ie/Paulstown
Portlaoise,R32 V97T,53.0142894,-7.3074749,http://motorwayservices.ie/Portlaoise
Rathcoole,D24 DH00,53.2784621,-6.4883542,http://motorwayservices.ie/Rathcoole
Wicklow,A67 WR12,53.0442765,-6.0904412,http://motorwayservices.ie/Wicklow
